"PUBCHEM_COMPOUND_CID","PUBCHEM_OPENEYE_ISO_SMILES"
"650001","CC1=CC(=NO1)NC(=O)CCC(=O)N(CC(=O)NC2CCCC2)C3=CC4=C(C=C3)OCCO4"
"650002","CN1C2=C(C(=O)NC1=O)N(C(=N2)NCCCO)CCCC3=CC=CC=C3"
"650003","CC(C)C1=NN=C(S1)NC(=O)C2=C(N3CCCC4=CC=CC(=C43)C2=O)O"
"650004","CCN1C2=C(N=C1SCC(=O)NCCC3=CC(=C(C=C3)OC)OC)N(C(=O)N(C2=O)C)C"
"650005","C1CCC(C1)NC(=O)C2C3CC(C2C(=O)N4CCOCC4)C=C3"
"650006","CCCN1C2=CC=CC=C2C(C1=O)(CC(=NO)C)O"
"650007","CCC1=NN=C(S1)NC(=O)C2=CC3=CC=CC=C3OC2=O"
"650008","C1CN(CCN1C2=NC=NC3=C2C=NN3C4=CC=CC=C4)S(=O)(=O)C5=CC=C(C=C5)F"
"650009","CCOC1=CC=C(C=C1)OCCSC2=NC(=O)C=C(N2)C"
"650010","CC1=NC2=CC(=NN2C(=C1)NCCN(C)C)C3=CC=CS3"
"650011","CCC(C1=NN=NN1CC2=CC=CO2)N(CCC3=CC=CC=C3)CC4=CC5=C(C(=CC=C5)C)NC4=O"
"650012","CC1=CC=CC=C1C2=NN=C(N2C)SCC(=O)NC3=CC=C(C=C3)OC"
"650013","C1CN(CCN1C2=CC(=NC3=NC=NN23)C(F)(F)F)C(=O)C4=CC=CO4"
"650014","CN1C(=O)C(SC1=O)NC2=CC=C(C=C2)F"
"650015","CCOC(=O)CN(C(C1=CC=CC=C1C)C(=O)NCCOC)C(=O)CN2C3=CC=CC=C3N=N2"
"650016","COC1=CC2=C(C=C1)N=C(C(=C2)C#N)SCC(=O)N3CCCCCC3"
"650017","CC(C(=O)NC1CCCCC1)OC(=O)C2=CC=CO2"
"650019","CCOC1=CC=CC=C1NC(=O)CSC2=NC3=C(N2C)N=CC=C3"
"650020","CC1CCCCC1NC(=O)CN2CCC(CC2)(C3=CC=C(C=C3)F)O"
"650021","CCOC1=CC=CC=C1C2C(=C(NC(=O)N2)C)C(=O)OC3CCCC3C"
"650022","CCC12CN3CC(C1=O)(CN(C2)C3C4=CC=C(C=C4)OCC=C)CC"
"650023","C1CCCN(CC1)C2=C(C=CC=N2)C(=O)NC3CCCC3"
"650024","COC1=CC=C(C=C1)C(=O)NC2CCN(CC2)C(=O)NC3CCCCC3"
"650025","CC(=O)N(C)C1=NC(=CS1)C2=CC=C(C=C2)Cl"
"650026","CN1C2=C(C=C1C(=O)OC(C3=CC=NC=C3)C(=O)NC4CCCC4)SC=C2"
"650027","CCS(=O)(=O)C1=CC(=C(C=C1)O)N2C(=O)C3C4CC(C3C2=O)C=C4"
"650028","CC(=O)C1=CC=C(C=C1)NC(=O)C2=CC=C(C=C2)S(=O)(=O)N3CCCC3"
"650029","CCOC(=O)C1=C(NC(=O)NC1C2=CC=C(C=C2)F)C"
"650030","C1=CC=C2C(=C1)C(OC2=O)NC3=NC4=CC=CC=C4S3"
"650031","CCCCSC1=NC(=O)C(=C(N1)C)CC(=O)OC"
"650032","C=CCOC1=CC=CC(=C1)C2C(=C(C(=O)N2CCN3CCOCC3)O)C(=O)C4=CC=CO4"
"650033","CCCN1C2=C(N=C1SCC(=O)OCC3=CC=CC=C3)N(C(=O)N(C2=O)C)C"
"650034","C1COC2=C(O1)C=CC(=C2)NCCC(=O)O"
"650035","C1CCC2(CC1)C(=CC#N)N3C4=CC=CC=C4N=C3O2"
"650036","CN1C=CN=C1SC2=NC3=C(N2C)C(=O)N(C(=O)N3C)C"
"650037","CC1=NC=C(N=C1)C(=O)NC2=CC(=C(C=C2)F)F"
"650038","CC1=CC=C(C=C1)N2N=C3C(=[N+]2[O-])CCC4=[N+](ON=C43)[O-]"
"650039","CC1=C(C=CC=C1Cl)S(=O)(=O)N2CCCC(C2)C3=NC(=NO3)C4=CC(=CC=C4)OC"
"650040","COC1=CC=C(C=C1)C2C3=C(C4=CC=CC=C4CC3)NC(=O)N2"
"650041","COC1=CC=CC=C1NC(=O)CSC2=NC(=CC(=O)N2)O"
"650042","CC1CN(CC(O1)C)C(=O)C2=CC(=CC=C2)C(=O)N3CC(OC(C3)C)C"
"650043","CCC1CCC2(CC1)NC(CO2)(CO)CO"
"650044","COC1=CC=C(C=C1)CNC(=O)C2CCN(CC2)S(=O)(=O)C3=CC=C(C=C3)C4=NNN=N4"
"650045","COC1=CC=C(C=C1)C(=O)CN2N=C(N=N2)C3=CC=CS3"
"650046","COC1=CC=CC(=C1OC)C(C2=NN=NN2CCC3=CC=CC=C3)N4CCN(CC4)C5=CC=CC=C5"
"650047","CN1C(=NN=C1SCC(=O)N)C2=CC=CC=C2"
"650048","CC1=CC2=C(C=C1)NC(=O)C(=C2)CN(CCO)CC3=NN=NN3CCC4=CC=CC=C4"
"650049","CCC1=CC=C(C=C1)OCC2=NN=C(N2C)SCCN3CCOCC3.C(=O)(C(=O)O)O"
"650050","CCC1=CC=C(C=C1)OCC2=NN=C(N2C)SCCN3CCOCC3"
"650052","COCCN1C(=NN=N1)CN2CCN3CCCC3C2"
"650054","COC1=CC(=C(C=C1)OC)C(C2=NN=NN2C3CCCC3)N4CCN(CC4)C5=CC=CC=C5F"
"650056","CCCCC(C1=NN=NN1CC2CCCO2)N3CCN(CC3)C4=CC=CC(=C4C)C"
"650058","COCCN1C(=NN=N1)C(C2=CC=CC(=C2)C#N)N3CCCCCC3"
"650059","[H+].CC(C)OC1=C(C=C(C=C1)C(=O)C)CN2CCCCC2.[Cl-]"
"650060","CC(C)OC1=C(C=C(C=C1)C(=O)C)CN2CCCCC2"
"650061","[H+].CCNCC1(CCCC1)C2=CC(=C(C=C2)OC)OC.[Cl-]"
"650062","CCNCC1(CCCC1)C2=CC(=C(C=C2)OC)OC"
"650063","[H+].CC(CN1CCN(CC1)C)OC(=O)C2=CC(=C(C(=C2)OC)OC)OC.[Cl-]"
"650064","CC(CN1CCN(CC1)C)OC(=O)C2=CC(=C(C(=C2)OC)OC)OC"
"650065","[H+].CCN(CC)CCN1C2=CC=CC=C2N=C1NCC3=CC(=CC=C3)OC.[Cl-]"
"650066","CCN(CC)CCN1C2=CC=CC=C2N=C1NCC3=CC(=CC=C3)OC"
"650067","CC1CC(CN(C1)C(=O)C2=CC=C(C=C2)S(=O)(=O)N3CCC(CC3)N4C5=C(C=C(C=C5)C)N=N4)C"
"650068","C1CN(CCN1C2=NN=NN2C3=CC=CC=C3)S(=O)(=O)C4=CC5=C(C=C4)OCO5"
"650069","COCCNC(=O)C(C1=CC=CS1)N(CCC2=CC=CC=C2)C(=O)CN3C4=CC=CC=C4N=N3"
"650070","COC1=CC=CC=C1C(C2=NN=NN2C3CCCC3)N4CCN5CCCC5C4"
"650071","CCCCOC1=CC=C(C=C1)NC(=O)CSCC(=O)OCC"
"650072","CC1=C(C2=C(C=C1)C=C(C(=O)N2)CN(CCN3CCCC3)C(=O)NC4=CC=CC=C4)C"
"650073","C1COCCN1C(=O)NC2=CC3=C(C=C2)C4=CC=CC=C4O3"
"650074","C1CN(CCC1C2=NC(=O)C3=NNN(C3=N2)CC4=CC(=CC=C4)Cl)C(=O)NC5=CC=CC(=C5)C#N"
"650075","COC1=CC=C(C=C1)N2CCN(CC2)C(=O)CSC3=NN=C(O3)CNC4=CC=CC=C4"
"650076","CC1=CC(=NC2=CC(=NN12)C(=O)NCCCN3C=CN=C3)C4=CC=CC=C4"
"650077","C1CCC(CC1)OC(=O)CSC2=NC3=CC4=C(C=C3C=C2C#N)OCO4"
"650078","C1CCC(CC1)N2C(=O)CSC2=NC3=CC=CC=N3"
"650079","COCCCN1C(=NN=C1SCC(=O)NC2CCCCC2)C3=CC=NC=C3"
"650080","COC1=C(C=C(C=C1)Cl)NC(=O)CN2CCC(CC2)N3C4=CC=CC=C4N=N3"
"650081","CC(C)C1=C2C(C(=C(OC2=NN1)N)C#N)CC3=CC=CC=C3"
"650082","CC1=C(C=CO1)C2=NN=C(N2CC(C)C)SCC(=O)NCC3=CC4=C(C=C3)OCO4"
"650083","C1CN(CCC1NC(=O)C2=CC=CC=C2)CC(=O)NCC3=CC=CC=C3F"
"650085","C1CN(CCC1C2=NC(=O)C3=NNN(C3=N2)CC4=CC=CC=C4Cl)C(=O)CC5=CC=CS5"
"650086","CCC(C(=O)OCC)N1C=NC2=C(C1=O)C(=C(S2)C(=O)OCC)C"
"650087","CC1=CC(=NC(=N1)SCC2=NN=C(O2)SCC(=O)N3CCOCC3)C"
"650088","CC1=NC=CN1CC(=O)O"
"650089","C1CC(OC1)C(=O)N2CCN(CC2)CC3=NC(=O)C4=CC=CC=C4N3"
"650090","CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)SCC(=O)C3=CC=CS3)CC4=CC=C(C=C4)F"
"650091","CCOC1=CC=CC=C1C(=O)NC2CCN(CC2)CC3=NN=NN3C4CCCC4"
"650092","CCC(C1=NN=NN1CC2=CC=CC=C2)N(CC3CCCO3)CC4=CC5=C(C=CC(=C5)OC)NC4=O"
"650093","C1CN(CCC1N2C3=CC=CC=C3N=N2)C(=O)N4CCOCC4"
"650094","CC1=CC2=C(C=C1)C=C(C(=O)N2)CN(CC3CCCO3)CC4=NN=NN4C5CCCCC5"
"650095","CCCN1C2=C(N=C1SCC=CC)N(C(=O)NC2=O)C"
"650096","CC1=CC2=CC(=C(C=C2N3C1=NN=C3SCC(=O)N)OC)OC"
"650097","C1CCC(CC1)N2C(=NN=N2)C(C3=CC=CS3)N4CCN(CC4)C(=O)C5=CC=CO5"
"650098","CC1=CN=C(C(=N1)N2CCC(CC2)C(=O)NCC3=CC=CS3)C"
"650099","C1OC2=C(O1)C=C(C=C2)CNC(=O)C(C3=CC=CO3)N(C4=CC=CC=C4)C(=O)C5=CSN=N5"
"650100","COC1=CC=CC=C1OCCN2C=C(C3=CC=CC=C32)C(=O)C4=CC=CO4"
"650101","CC1(CC2=CC=CC=C2C3=NN=C(N31)C4=CN=CC=C4)C"
"650102","CC(C)NC(=O)CN(C1=CC(=C(C=C1)F)Cl)C(=O)CCC(=O)NC2=CC=CC=N2"
"650103","CC(C)C1=NN=C(S1)NC(=O)C2CCCN2S(=O)(=O)C3=CC=C(C=C3)Cl"
"650104","CCC1=C(N=C2C=C(C=CC2=C1)OC)SCC(=O)NC3=NOC(=C3)C"
"650105","CC1=CC=C(C=C1)C(=O)N2CCN(CC2)C3=CC=C(C=C3)NC(=O)C4=CN=CC=C4"
"650106","C1CN(CCN1C(=O)CC2=CC=CC=C2)C(=O)C3=CC=CS3"
